Cycle size: 20000000
Prize   Count

[10]  629135
[20]  956445
[30]  238099
[40]  427346
[50]   69847
[60]  354015
[70]   11863
[80]  114822
[90]   69566
[100]  74533
[110]   2370
[120]  83934
[130]  13330
[140]  16701
[150]   7671
[160]  28031
[170]    420
[180]  24097
[190]   1615
[200]  14353
[210]   5715
[220]   6870
[230]   3368
[240]  15102
[250]   5112
[260]   3318
[270]    405
[280]   6719
[290]   2054
[300]   9898
[310]    232
[320]   4390
[330]    289
[340]   4128
[350]    634
[360]   5758
[370]     95
[380]   4478
[390]    752
[400]   3547
[410]    166
[420]   4295
[430]    393
[440]   2056
[450]    281
[460]   1177
[470]    138
[480]   1143
[490]    221
[500]    382
[510]     98
[520]    629
[530]    451
[540]    162
[550]     56
[560]    760
[570]     29
[580]    154
[590]     91
[600]   1457
[610]     10
[620]    277
[630]    168
[640]    478
[650]     94
[660]    397
[670]     53
[680]    418
[690]     46
[700]    229
[710]     23
[720]    590
[730]     13
[740]    137
[750]     10
[760]    218
[770]      3
[780]     62
[790]     78
[800]    187
[820]     35
[830]     45
[840]    105
[850]     10
[860]    108
[870]      5
[880]    156
[890]     28
[900]     66
[910]      1
[920]    149
[930]     32
[940]     33
[950]     14
[960]     96
[980]     59
[990]     24
[1000]   118
[1020]    39
[1030]    21
[1040]   123
[1050]     3
[1060]    22
[1080]   167
[1090]    14
[1100]    11
[1110]     1
[1120]    29
[1130]     6
[1140]    16
[1150]     5
[1160]    24
[1180]    12
[1200]   108
[1220]    11
[1230]     6
[1240]    54
[1260]     3
[1280]     9
[1290]     7
[1300]     6
[1320]    22
[1330]     7
[1340]     9
[1350]     1
[1360]    31
[1380]     6
[1390]     4
[1400]    70
[1410]    14
[1420]     2
[1430]     8
[1440]    12
[1460]     3
[1480]     3
[1490]     2
[1500]     4
[1520]    60
[1530]     3
[1540]     3
[1560]     8
[1580]     4
[1600]     8
[1620]     7
[1630]     2
[1640]     4
[1660]     9
[1680]     2
[1690]     5
[1720]     1
[1740]     6
[1760]     1
[1780]     5
[1790]     3
[1800]     3
[1820]     5
[1830]     3
[1880]     1
[1920]     2
[1930]     1
[1940]     2
[1960]     1
[1980]     3
[1990]     3
[2000]    24
[2020]     3
[2060]     1
[2080]     7
[2090]     2
[2100]     2
[2120]     6
[2160]     2
[2180]     2
[2230]     1
[2260]     1
[2290]     4
[2300]     3
[2320]     1
[2340]     1
[2360]     1
[2380]     1
[2400]     4
[2420]     2
[2430]     1
[2480]     3
[2500]     2
[2580]     1
[2590]     3
[2620]     2
[2640]     1
[2680]     1
[2890]     4
[2940]     1
[3020]     1
[3320]     1
[3620]     1
